game_id,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,MappedHomeTeam,MappedAwayTeam,season,datetime,league,game_day,HomeTeam,AwayTeam,FTHG,FTAG,IWH,IWD,IWA,goal_diff,odds_diff,result
2021-01-03Bayern MunichMainz,Bayern Munich,Mainz,91.76,59.65,0.89,0.0288,0.0812,3.33,0.51,Bayern Munich,Mainz,2020/2021,2021-01-03,D1,14.0,Bayern Munich,Mainz,5.0,2.0,1.12,10.0,19.0,3.0,-17.88,5-2
2021-01-08M'gladbachBayern Munich,Borussia Monchengladbach,Bayern Munich,76.39,91.56,0.209,0.5945,0.1965,1.42,2.45,M'gladbach,Bayern Munich,2020/2021,2021-01-08,D1,15.0,M'gladbach,Bayern Munich,3.0,2.0,4.8,4.35,1.63,1.0,3.17,3-2
2021-01-09MainzEin Frankfurt,Mainz,Eintracht Frankfurt,59.72,73.28,0.3071,0.4473,0.2456,1.39,1.72,Mainz,Ein Frankfurt,2020/2021,2021-01-09,D1,15.0,Mainz,Ein Frankfurt,0.0,2.0,3.55,3.8,1.97,-2.0,1.5799999999999998,0-2
2021-01-09LeverkusenWerder Bremen,Bayer Leverkusen,Werder Bremen,81.93,63.2,0.6841,0.10800000000000001,0.2079,1.99,0.64,Leverkusen,Werder Bremen,2020/2021,2021-01-09,D1,15.0,Leverkusen,Werder Bremen,1.0,1.0,1.48,4.55,6.3,0.0,-4.82,1-1
2021-01-09Schalke 04Hoffenheim,Schalke 04,TSG Hoffenheim,51.77,72.15,0.2402,0.5205,0.2393,1.18,1.84,Schalke 04,Hoffenheim,2020/2021,2021-01-09,D1,15.0,Schalke 04,Hoffenheim,4.0,0.0,4.4,3.85,1.73,4.0,2.6700000000000004,4-0
2021-01-09FreiburgFC Koln,SC Freiburg,FC Cologne,68.4,61.94,0.4882,0.2542,0.2576,1.63,1.11,Freiburg,FC Koln,2020/2021,2021-01-09,D1,15.0,Freiburg,FC Koln,5.0,0.0,1.95,3.5,3.95,5.0,-2.0,5-0
2021-01-09Union BerlinWolfsburg,1. FC Union Berlin,VfL Wolfsburg,70.84,74.8,0.36200000000000004,0.3576,0.2805,1.27,1.26,Union Berlin,Wolfsburg,2020/2021,2021-01-09,D1,15.0,Union Berlin,Wolfsburg,2.0,2.0,2.9,3.25,2.5,0.0,0.3999999999999999,2-2
2021-01-09RB LeipzigDortmund,RB Leipzig,Borussia Dortmund,85.15,84.26,0.4283,0.3116,0.2601,1.55,1.29,RB Leipzig,Dortmund,2020/2021,2021-01-09,D1,15.0,RB Leipzig,Dortmund,1.0,3.0,2.25,3.5,3.05,-2.0,-0.7999999999999998,1-3
2021-01-10AugsburgStuttgart,FC Augsburg,VfB Stuttgart,62.26,68.82,0.3404,0.3801,0.2795,1.23,1.31,Augsburg,Stuttgart,2020/2021,2021-01-10,D1,15.0,Augsburg,Stuttgart,1.0,4.0,3.35,3.4,2.2,-3.0,1.15,1-4
2021-01-10BielefeldHertha,Arminia Bielefeld,Hertha Berlin,55.65,68.4,0.3169,0.3956,0.2875,1.12,1.29,Bielefeld,Hertha,2020/2021,2021-01-10,D1,15.0,Bielefeld,Hertha,1.0,0.0,4.15,3.5,1.9,1.0,2.2500000000000004,1-0
2021-01-15Union BerlinLeverkusen,1. FC Union Berlin,Bayer Leverkusen,70.32,81.43,0.2597,0.4692,0.2711,1.04,1.5,Union Berlin,Leverkusen,2020/2021,2021-01-15,D1,16.0,Union Berlin,Leverkusen,1.0,0.0,3.15,3.35,2.3,1.0,0.8500000000000001,1-0
